StoreId,StoreName,CentreId
204,"Haymarket Shopping Centre - store A",202
205,"The Bridges Shopping Centre - store A",203
206,"Kingsgate Centre - store A",204
207,"Templars Square Shopping Centre - store A",205
208,"Cathedral Plaza - store A",206
209,"Millgate Shopping Centre - store A",207
210,"Millgate Shopping Centre - store B",207
211,"Elk Mill Retail Park - store A",208
212,"Buttermarket Shopping Centre - store A",209
213,"Winsford Cross Shopping Centre - store A",210
214,"Monks Cross Shopping Park - store A",211
215,"O2 - store A",212
216,"The Chantry Centre - store A",213
217,"Surrey Quays Shopping Centre - store A",214
218,"Ealing Broadway Centre - store A",215
219,"Headrow Shopping Centre - store A",216
220,"Eden Walk Shopping Centre - store A",217
221,"Lower Precinct Shopping Centre - store A",218
222,"Whiteleys Shopping & Leisure Centre - store A",219
223,"Treaty Centre - store A",220
224,"St Ann's Shopping Centre - store A",221
225,"Priory Square Shopping Centre - store A",222
226,"Selborne Walk Shopping Centre - store A",223
227,"Telford Forge Retail Park - store A",224
228,"Priory Meadow Shopping Centre - store A",225
229,"Weston Favell Shopping Centre - store A",226
230,"Stratford Centre - store A",227
231,"Clayton Square Shopping Centre - store A",228
232,"Salford Shopping City - store A",229
233,"Bolton Gate Retail Park - store A",230
234,"Middleton Shopping Centre - store A",231
235,"Broughton Shopping Park - store A",232
236,"Serpentine Green Shopping Centre - store A",233
237,"Crowngate Shopping Centre - store A",234
238,"Cockhedge Shopping Park - store A",235
239,"Ventura Retail Park - store A",236
240,"Victoria Plaza Shopping Centre - store A",237
241,"Ellesmere Shopping Centre - store A",238
242,"Ellesmere Shopping Centre - store B",238
243,"The Mall Ilford - store A",239
244,"Princes Quay Shopping Centre - store A",240
245,"Princes Quay Shopping Centre - store B",240
246,"The Water Gardens - store A",241
247,"Guildhall Shopping Centre - store A",242
248,"Swan Centre - store A",243
249,"Market Place Shopping Centre - store A",244
250,"The Malls - store A",245
251,"Golden Square Shopping Centre - store A",246
252,"Greenbridge Retail Park - store A",247
253,"St George's Shopping Centre - store A",248
254,"Roaring Meg Retail Park - store A",249
255,"Prospect Shopping Centre - store A",250
256,"Freeport Braintree Outlet Village - store A",251
257,"Deepdale Shopping Park - store A",252
258,"Church Square Shopping Centre - store A",253
259,"Centre Court Shopping Centre - store A",254
260,"Beaumont Shopping Centre - store A",255
261,"Swansgate Centre - store A",256
262,"Queensmere Shopping Centre - store A",257
263,"Rochdale Exchange Shopping Centre - store A",258
264,"West 12 Shopping and Leisure - store A",259
265,"Pentagon Centre - store A",260
266,"Beehive Centre - store A",261
267,"Galleries Shopping Centre - store A",262
268,"Galleries Shopping Centre - store B",262
269,"Grosvenor Centre - store A",263
270,"The Galleria - store A",264
271,"The Coliseum - store A",265
272,"Concourse Shopping Centre - store A",266
273,"Lewisham Shopping Centre - store A",267
274,"Gunwharf Quays - store A",268
275,"Fishergate Shopping Centre - store A",269
276,"Weavers Wharf - store A",270
277,"Arndale Centre - store A",271
278,"Arndale Centre - store B",271
279,"Culver Shopping Centre - store A",272
280,"One Stop Shopping Centre - store A",273
281,"Kings Mall Shopping Centre - store A",274
282,"The Ridings Shopping Centre - store A",275
283,"Gallagher Retail Park - store A",276
284,"Gemini Retail Park - store A",277
285,"Royal Victoria Place Shopping Centre - store A",278
286,"Merseyway Shopping Centre - store A",279
287,"The Light - store A",280
288,"The Ashley Shopping Centre - store A",281
289,"Crystal Peaks Shopping Centre - store A",282
290,"The Marlowes Shopping Centre - store A",283
291,"Lakeside Retail Park - store A",284
292,"Orbital Shopping Park - store A",285
293,"Castlegate Shopping Centre - store A",286
294,"St John's Shopping Centre - store A",287
295,"Hempstead Valley Shopping Centre - store A",288
296,"Main Square Shopping Centre - store A",289
297,"St Marks Shopping Park - store A",290
298,"Port Arcades - store A",291
299,"Retail World Retail Park - store A",292
300,"St Nicholas Shopping Centre - store A",293
301,"Kirkgate Centre - store A",294
302,"Fremlin Walk - store A",295
303,"Two Rivers - store A",296
304,"Leeds Shopping Plaza - store A",297
305,"Chelmsley Wood Shopping Centre - store A",298
306,"Teesside Retail Park - store A",299
307,"Castle Quay Shopping Centre - store A",300
308,"Coopers Square Shopping Centre - store A",301
309,"Imperial Park - store A",302
310,"Pavilions Shopping Centre - store A",303
311,"Corby Town Centre - store A",304
312,"Corby Town Centre - store B",304
313,"Castle Mall Shopping Centre - store A",305
314,"Broad Street Mall - store A",306
315,"Birtles Shopping Centre - store A",307
316,"Castle Dene Shopping Centre - store A",308
317,"Castle Dene Shopping Centre - store B",308
318,"Freshney Place Shopping Centre - store A",309
319,"Whitefriars Shopping Centre - store A",310
320,"Strand Shopping Centre - store A",311
321,"Strand Shopping Centre - store B",311
322,"The Broadway Shopping Centre - store A",312
323,"Cheshire Oaks Designer Outlet - store A",313
324,"Cheshire Oaks Designer Outlet - store B",313
325,"The Junction Hull - store A",314
326,"Yate Shopping Centre - store A",315
327,"Yate Shopping Centre - store B",315
328,"The Chimes Shopping Centre - store A",316
329,"Cascades Shopping Centre - store A",317
330,"Arndale Centre - store A",318
331,"Grafton Centre - store A",319
332,"The Glades Shopping Centre - store A",320
333,"The Glades Shopping Centre - store B",320
334,"Fosse Shopping Park - store A",321
335,"Midsummer Place - store A",322
336,"Cleveland Shopping Centre - store A",323
337,"Harvey Centre - store A",324
338,"Mell Square - store A",325
339,"The Grange Shopping Centre - store A",326
340,"The Grange Shopping Centre - store B",326
341,"County Mall Shopping Centre - store A",327
342,"County Mall Shopping Centre - store B",327
343,"Charter Walk Shopping Centre - store A",328
344,"Churchill Square Shopping Centre - store A",329
345,"Broadmarsh Shopping Centre - store A",330
346,"Fareham Shopping Centre - store A",331
347,"New Mersey Retail Park - store A",332
348,"The Spindles Shopping Centre - store A",333
349,"The Liberty Shopping Centre - store A",334
350,"Dolphin Shopping Centre - store A",335
351,"Dolphin Shopping Centre - store B",335
352,"Halton Lea Shopping Centre - store A",336
353,"Chequers Shopping Centre - store A",337
354,"The Lanes Shopping Centre - store A",338
355,"The Mander Centre - store A",339
356,"The Mander Centre - store B",339
357,"The Peacocks - store A",340
358,"Gracechurch Shopping Centre - store A",341
359,"Merrion Centre - store A",342
360,"The Brewery - store A",343
361,"Shopping City - store A",344
362,"Clifton Moor Centre - store A",345
363,"Southside - store A",346
364,"Southside - store B",346
365,"The Galleries Shopping Centre - store A",347
366,"The Shires Shopping Centre - store A",348
367,"Eagle Centre - store A",349
368,"Whitgift Shopping Centre - store A",350
369,"Whitgift Shopping Centre - store B",350
370,"Middleton Grange Shopping Centre - store A",351
371,"Middleton Grange Shopping Centre - store B",351
372,"The Potteries Shopping Centre - store A",352
373,"Brunel Shopping Centre - store A",353
374,"Brunel Shopping Centre - store B",353
375,"Chapelfield - store A",354
376,"Retail World - store A",355
377,"Middlebrook Sports & Retail Village - store A",356
378,"Edmonton Green Shopping Centre - store A",357
379,"Edmonton Green Shopping Centre - store B",357
380,"The Bentall Centre - store A",358
381,"Castlepoint - store A",359
382,"White Rose Shopping Centre - store A",360
383,"Blackburn Shopping Centre - store A",361
384,"Blackburn Shopping Centre - store B",361
385,"Touchwood - store A",362
386,"The Oracle Shopping Centre - store A",363
387,"The Oracle Shopping Centre - store B",363
388,"The Eastgate Shopping Centre - store A",364
389,"The Eastgate Shopping Centre - store B",364
390,"The Harlequin - store A",365
391,"The Harlequin - store B",365
392,"Frenchgate Shopping Centre - store A",366
393,"Frenchgate Shopping Centre - store B",366
394,"Queensgate Shopping Centre - store A",367
395,"Telford Shopping Centre - store A",368
396,"Telford Shopping Centre - store B",368
397,"Arndale Shopping Centre - store A",369
398,"Arndale Shopping Centre - store B",369
399,"Centrale - store A",370
400,"West Quay Shopping Centre - store A",371
401,"Victoria Shopping Centre - store A",372
402,"Victoria Shopping Centre - store B",372
403,"Brent Cross Shopping Centre - store A",373
404,"Brent Cross Shopping Centre - store B",373
405,"Festival Place - store A",374
406,"Festival Place - store B",374
407,"The Mall At Cribbs Causeway - store A",375
408,"The Mall At Cribbs Causeway - store B",375
409,"Kingfisher Shopping Centre - store A",376
410,"Kingfisher Shopping Centre - store B",376
411,"Eldon Square Shopping Centre - store A",377
412,"Eldon Square Shopping Centre - store B",377
413,"Bullring - store A",378
414,"Bullring - store B",378
415,"Arndale Centre - store A",379
416,"Arndale Centre - store B",379
417,"Arndale Centre - store C",379
418,"Thecentre:mk - store A",380
419,"Thecentre:mk - store B",380
420,"Lakeside - store A",381
421,"Lakeside - store B",381
422,"Lakeside - store C",381
423,"Lakeside - store D",381
424,"The Trafford Centre - store A",382
425,"The Trafford Centre - store B",382
426,"The Trafford Centre - store C",382
427,"Meadowhall - store A",383
428,"Meadowhall - store B",383
429,"Meadowhall - store C",383
430,"Bluewater - store A",384
431,"Bluewater - store B",384
432,"Bluewater - store C",384
433,"Bluewater - store D",384
434,"Merry Hill - store A",385
435,"Merry Hill - store B",385
436,"Merry Hill - store C",385
437,"Metrocentre - store A",386
438,"Metrocentre - store B",386
439,"Metrocentre - store C",386
440,"Metrocentre - store D",386
